match_id,radiant_win,duration,avg_mmr,avg_rank_tier,radiant_team,dire_team
6987648607,True,2463,3168.0,81,"14,50,6,15,22","109,27,103,69,19"
6987650110,False,1604,5287.0,81,"46,51,107,137,49","53,32,135,106,95"
6987651000,False,2476,4119.0,81,"86,93,17,15,32","39,111,135,62,53"
6987653712,False,2514,6214.0,81,"75,53,78,123,106","104,86,6,137,103"
6987653816,False,3651,2078.0,81,"2,70,75,5,52","26,74,32,69,95"
6987656402,True,1800,5543.0,81,"75,109,100,65,26","86,53,19,136,67"
6987657400,True,1961,4545.0,81,"35,9,33,23,32","62,83,25,97,45"
6987657402,True,2488,3587.0,81,"86,43,65,93,100","129,121,54,123,17"
6987657519,True,2115,4180.0,81,"1,97,32,7,114","19,106,70,27,137"
6987658609,False,2759,4863.0,81,"20,30,93,102,17","76,104,11,26,40"
6987659808,False,2658,4582.0,81,"11,22,129,93,113","12,15,39,75,9"
6987660601,True,3204,5718.0,81,"87,70,86,36,97","39,18,5,85,77"
6987661917,True,655,2424.0,81,"29,128,75,74,6","80,106,59,14,7"
6987662815,False,2542,4664.0,81,"9,136,49,94,53","32,11,102,76,52"
6987663318,True,2169,3116.0,81,"25,110,28,31,106","4,100,136,35,86"
6987664305,False,2579,2885.0,81,"75,64,14,43,100","121,29,119,56,19"
6987664718,True,2473,4176.0,81,"2,9,6,32,100","40,1,69,31,39"
6987665415,True,1708,4989.0,81,"30,74,32,12,28","75,53,93,105,29"
6987673505,True,3875,,81,"120,44,100,38,32","129,70,20,36,14"
6987673605,False,2117,5441.0,81,"23,87,18,120,72","126,9,67,135,26"
6987675010,False,1541,5342.0,81,"53,136,110,9,25","19,96,86,51,12"
6987676405,False,1384,4616.0,81,"51,14,7,18,43","85,11,69,22,93"
6987676509,False,1077,4644.0,81,"19,50,109,38,106","32,120,119,137,114"
6987676716,True,2227,5234.0,81,"110,11,7,99,52","64,69,58,114,39"
6987677013,False,2077,6473.0,81,"19,83,6,126,100","53,25,104,59,32"
6987678603,True,3017,4429.0,81,"62,57,25,106,76","83,17,69,6,32"
6987682308,True,2856,3757.0,81,"25,17,14,15,136","8,47,32,86,60"
6987682907,True,1408,4514.0,81,"81,32,126,83,9","49,40,72,69,75"
6987685510,False,1887,5299.0,81,"105,46,51,136,137","83,120,96,86,67"
6987687418,True,1889,4453.0,81,"97,13,25,9,33","73,70,83,39,71"
6987687811,False,2229,4474.0,81,"13,19,89,78,30","21,68,44,14,104"
6987688502,True,1461,4549.0,81,"6,30,29,87,43","93,11,69,104,123"
6987689306,False,2332,6049.0,81,"100,65,129,25,107","51,128,67,53,106"
6987692704,True,3285,5243.0,81,"83,90,120,110,6","135,65,86,53,128"
6987692819,False,2684,5106.0,81,"89,9,55,121,113","86,11,97,5,41"
6987693503,True,1989,,81,"50,7,11,16,70","2,25,32,126,86"
6987695112,False,2727,5438.0,81,"78,106,29,42,86","90,93,107,87,43"
6987695119,True,2392,3721.0,81,"120,31,104,101,54","11,5,75,128,103"
6987695506,True,1943,4569.0,81,"126,45,15,57,11","100,1,9,13,83"
6987698019,False,1652,,81,"86,113,123,10,129","83,126,70,100,15"
6987700416,False,2759,,81,"135,76,123,5,114","11,14,101,67,69"
6987700903,True,1824,5973.0,81,"65,129,110,136,53","83,9,86,100,10"
6987701305,False,2711,5660.0,81,"1,74,34,5,129","19,120,25,53,64"
6987702614,False,1846,4858.0,81,"32,17,135,10,69","86,137,14,114,52"
6987704214,True,2930,5255.0,81,"36,89,32,50,60","31,105,97,46,22"
6987710505,True,2307,,81,"21,93,7,128,43","14,106,129,10,45"
6987710706,True,1509,4187.0,81,"4,82,14,123,135","67,86,37,13,96"
6987710912,True,2730,4880.0,81,"10,22,14,25,34","11,60,123,128,93"
6987711006,True,1944,4599.0,81,"123,69,101,93,106","100,120,87,1,9"
6987711406,True,1506,,81,"82,91,69,36,7","17,9,80,96,135"
6987713616,False,1936,4649.0,81,"86,31,41,77,76","91,49,32,70,105"
6987714400,False,940,4653.0,81,"64,136,54,113,135","121,59,83,53,36"
6987715210,False,1496,,81,"86,14,52,53,70","41,50,100,92,104"
6987716603,False,1750,4466.0,81,"96,76,54,121,101","100,75,26,72,104"
6987717613,False,1872,5489.0,81,"22,65,28,93,102","69,120,85,80,97"
6987719307,False,2304,4610.0,81,"35,61,137,22,112","10,85,135,21,80"
6987719814,True,2652,4506.0,81,"86,7,129,10,65","39,85,81,58,69"
6987719915,False,2126,3992.0,81,"11,6,14,101,69","32,43,70,30,106"
6987720508,True,1913,4816.0,81,"93,78,76,5,21","101,90,77,110,25"
6987726814,True,1527,5946.0,81,"33,69,41,11,100","79,9,120,129,6"
6987731917,True,2153,4319.0,81,"27,90,93,65,76","43,41,100,123,51"
6987732514,False,1775,7010.0,81,"69,135,89,71,22","32,49,50,74,67"
6987735705,False,2242,4565.0,81,"86,84,93,106,61","70,128,19,5,119"
6987736404,False,2515,,81,"123,10,25,14,97","106,98,114,84,35"
6986736416,True,1645,3492.0,81,"6,51,28,128,52","100,53,105,71,11"
6986739019,True,2381,4652.0,81,"100,85,63,123,2","11,69,47,14,87"
6986740118,False,2484,5342.0,81,"34,9,101,104,114","4,137,47,31,25"
6986741301,True,2411,3951.0,81,"69,100,57,18,86","114,9,129,74,61"
6986742711,True,1523,5476.0,81,"137,86,70,123,19","98,128,56,26,7"
6986748401,False,1545,,81,"63,70,25,107,83","91,100,40,129,41"
6986749015,False,1814,3908.0,81,"27,135,32,11,82","38,106,31,46,71"
6986749018,True,2793,4930.0,81,"71,120,97,56,7","59,105,25,51,129"
6986749610,False,1763,5283.0,81,"9,70,61,135,100","108,23,87,89,86"
6986751409,True,2541,4920.0,81,"129,137,107,41,9","69,14,97,11,25"
6986752000,False,2225,6914.0,81,"86,61,105,19,136","5,120,51,53,14"
6986754106,True,1961,5094.0,81,"7,114,104,30,57","123,22,25,38,14"
6986754717,False,1890,,81,"70,101,3,90,137","69,77,83,9,25"
6986755819,True,2321,6567.0,81,"52,114,96,105,94","83,19,104,53,28"
6986756214,True,1631,5135.0,81,"96,100,123,87,54","129,61,5,43,4"
6986756713,True,2059,4361.0,81,"64,75,16,11,76","6,137,84,14,53"
6986758400,False,2632,4024.0,81,"93,14,46,33,114","101,135,70,104,97"
6986759017,False,1352,4769.0,81,"72,93,81,65,87","86,4,104,10,32"
6986762108,False,2338,4370.0,81,"105,64,41,128,86","70,137,9,27,11"
6986763519,False,1806,,81,"14,22,5,19,101","82,128,77,110,114"
6986764205,False,2208,,81,"98,136,57,46,14","43,100,105,56,76"
6986764411,False,2289,5553.0,81,"114,70,33,5,13","63,89,128,39,135"
6986766407,True,1919,5544.0,81,"59,78,123,41,64","104,6,83,97,26"
6986767005,False,2057,4097.0,81,"9,73,67,90,129","52,11,86,97,75"
6986767402,True,2180,2200.0,81,"51,53,86,106,10","14,34,30,6,32"
6986768801,False,2000,5386.0,81,"106,86,63,70,87","7,83,47,36,53"
6986769400,True,4107,7002.0,81,"89,100,43,9,32","52,75,44,23,86"
6986770704,True,2012,2972.0,81,"10,14,128,13,75","136,12,35,72,71"
6986771312,False,1381,4076.0,81,"35,123,10,28,91","14,53,102,104,72"
6986772519,False,2183,3912.0,81,"69,86,25,106,14","5,52,136,100,28"
6986772803,False,1457,5455.0,81,"21,100,6,137,31","11,83,41,75,128"
6986774708,True,1908,5399.0,81,"80,129,105,9,126","32,100,13,55,25"
6986775618,True,1961,4894.0,81,"101,53,15,121,23","123,35,25,135,7"
6986775712,False,1964,4546.0,81,"69,33,72,79,25","19,111,65,70,128"
6986776808,True,1496,5180.0,81,"53,9,100,120,43","68,86,11,8,97"
6986779007,False,1756,4002.0,81,"76,97,128,113,7","65,123,19,11,14"
6986780319,True,1989,4234.0,81,"32,120,83,69,25","6,89,43,77,51"
6986783009,False,2140,4350.0,81,"14,69,86,114,57","9,74,71,94,43"
6986783108,False,1849,4981.0,81,"12,128,14,86,126","120,76,110,69,70"
6986783907,True,1699,5264.0,81,"106,14,119,63,97","19,73,50,86,44"
6986785805,True,2047,,81,"43,102,80,14,93","74,53,105,109,50"
6986787803,False,1874,5175.0,81,"104,34,70,57,101","137,53,35,20,73"
6986789113,True,2646,5390.0,81,"119,129,5,70,39","23,42,93,11,51"
6986790706,True,1722,4439.0,81,"123,119,114,97,11","9,85,69,93,59"
6986791704,True,1938,4164.0,81,"25,83,14,136,97","137,105,98,51,35"
6986796101,False,2183,3066.0,81,"19,69,120,9,8","49,114,87,70,51"
6986796218,False,1549,4703.0,81,"98,8,90,101,3","63,11,100,83,135"
6986796503,False,1889,,81,"83,67,76,9,98","6,102,47,101,104"
6986799201,True,1562,4384.0,81,"14,128,63,74,12","11,57,15,8,30"
6986800502,False,3135,4701.0,81,"21,70,17,3,135","25,16,83,119,54"
6986800915,True,871,5948.0,81,"106,62,136,64,25","32,14,46,61,114"
6986801614,False,1926,4864.0,81,"65,32,104,40,89","9,18,61,69,119"
6986802912,False,2198,4527.0,81,"69,75,93,72,65","104,123,86,74,25"
6986804003,True,1573,4745.0,81,"65,25,43,85,14","32,21,11,91,35"
6986804212,True,1914,3122.0,81,"5,97,19,25,1","137,10,100,83,123"
6986804912,False,2417,5927.0,81,"6,11,64,19,15","106,69,114,75,43"
6986807907,False,2231,5654.0,81,"100,25,97,83,106","9,41,69,65,31"
6986809709,True,1823,3569.0,81,"100,137,46,71,86","106,35,31,66,93"
6986809710,True,2565,,81,"69,61,100,86,44","19,4,43,51,32"
